Dist(m),Left,Right,Elbow,TOF,AngleOffset
6.2,44.622656,24.9976,0.025,1.46558,-13.5021
6.21,44.60285646,25.08093,0.025,1.466309,-13.46877
6.22,44.58532002,25.16426,0.025,1.467038,-13.43544
6.23,44.57002711,25.24759,0.025,1.467767,-13.40211
6.24,44.55695821,25.33092,0.025,1.468496,-13.36878
6.25,44.54609375,25.41425,0.025,1.469225,-13.33545
6.26,44.53741419,25.49758,0.025,1.469954,-13.30212
6.27,44.53089999,25.58091,0.025,1.470683,-13.26879
6.28,44.52653158,25.66424,0.025,1.471412,-13.23546
6.29,44.52428944,25.74757,0.025,1.472141,-13.20213
6.3,44.524154,25.8309,0.025,1.47287,-13.1688
6.31,44.52610572,25.91423,0.025,1.473599,-13.13547
6.32,44.53012506,25.99756,0.025,1.474328,-13.10214
6.33,44.53619245,26.08089,0.025,1.475057,-13.06881
6.34,44.54428837,26.16422,0.025,1.475786,-13.03548
6.35,44.55439325,26.24755,0.025,1.476515,-13.00215
6.36,44.56648755,26.33088,0.025,1.477244,-12.96882
6.37,44.58055173,26.41421,0.025,1.477973,-12.93549
6.38,44.59656622,26.49754,0.025,1.478702,-12.90216
6.39,44.6145115,26.58087,0.025,1.479431,-12.86883
6.4,44.634368,26.6642,0.025,1.48016,-12.8355
6.41,44.65611618,26.74753,0.025,1.480889,-12.80217
6.42,44.6797365,26.83086,0.025,1.481618,-12.76884
6.43,44.70520939,26.91419,0.025,1.482347,-12.73551
6.44,44.73251533,26.99752,0.025,1.483076,-12.70218
6.45,44.76163475,27.08085,0.025,1.483805,-12.66885
6.46,44.79254811,27.16418,0.025,1.484534,-12.63552
6.47,44.82523587,27.24751,0.025,1.485263,-12.60219
6.48,44.85967846,27.33084,0.025,1.485992,-12.56886
6.49,44.89585636,27.41417,0.025,1.486721,-12.53553
6.5,44.93375,27.4975,0.025,1.48745,-12.5022
6.51,44.97333984,27.58083,0.025,1.488179,-12.46887
6.52,45.01460634,27.66416,0.025,1.488908,-12.43554
6.53,45.05752993,27.74749,0.025,1.489637,-12.40221
6.54,45.10209109,27.83082,0.025,1.490366,-12.36888
6.55,45.14827025,27.91415,0.025,1.491095,-12.33555
6.56,45.19604787,27.99748,0.025,1.491824,-12.30222
6.57,45.24540441,28.08081,0.025,1.492553,-12.26889
6.58,45.2963203,28.16414,0.025,1.493282,-12.23556
6.59,45.34877602,28.24747,0.025,1.494011,-12.20223
6.6,45.402752,28.3308,0.025,1.49474,-12.1689
6.61,45.4582287,28.41413,0.025,1.495469,-12.13557
6.62,45.51518658,28.49746,0.025,1.496198,-12.10224
6.63,45.57360607,28.58079,0.025,1.496927,-12.06891
6.64,45.63346765,28.66412,0.025,1.497656,-12.03558
6.65,45.69475175,28.74745,0.025,1.498385,-12.00225
6.66,45.75743883,28.83078,0.025,1.499114,-11.96892
6.67,45.82150935,28.91411,0.025,1.499843,-11.93559
6.68,45.88694374,28.99744,0.025,1.500572,-11.90226
6.69,45.95372248,29.08077,0.025,1.501301,-11.86893
6.7,46.021826,29.1641,0.025,1.50203,-11.8356
6.71,46.09123476,29.24743,0.025,1.502759,-11.80227
6.72,46.16192922,29.33076,0.025,1.503488,-11.76894
6.73,46.23388981,29.41409,0.025,1.504217,-11.73561
6.74,46.30709701,29.49742,0.025,1.504946,-11.70228
6.75,46.38153125,29.58075,0.025,1.505675,-11.66895
6.76,46.45717299,29.66408,0.025,1.506404,-11.63562
6.77,46.53400269,29.74741,0.025,1.507133,-11.60229
6.78,46.61200078,29.83074,0.025,1.507862,-11.56896
6.79,46.69114774,29.91407,0.025,1.508591,-11.53563
6.8,46.771424,29.9974,0.025,1.50932,-11.5023
6.81,46.85281002,30,0.025,1.510049,-11.46897
6.82,46.93528626,30,0.025,1.510778,-11.43564
6.83,47.01883315,30,0.025,1.511507,-11.40231
6.84,47.10343117,30,0.025,1.512236,-11.36898
6.85,47.18906075,30,0.025,1.512965,-11.33565
6.86,47.27570235,30,0.025,1.513694,-11.30232
6.87,47.36333643,30,0.025,1.514423,-11.26899
6.88,47.45194342,30,0.025,1.515152,-11.23566
6.89,47.5415038,30,0.025,1.515881,-11.20233
6.9,47.631998,30,0.025,1.51661,-11.169
6.91,47.72340648,30,0.025,1.517339,-11.13567
6.92,47.8157097,30,0.025,1.518068,-11.10234
6.93,47.90888809,30,0.025,1.518797,-11.06901
6.94,48.00292213,30,0.025,1.519526,-11.03568
6.95,48.09779225,30,0.025,1.520255,-11.00235
6.96,48.19347891,30,0.025,1.520984,-10.96902
6.97,48.28996257,30,0.025,1.521713,-10.93569
6.98,48.38722366,30,0.025,1.522442,-10.90236
6.99,48.48524266,30,0.025,1.523171,-10.86903
7,48.584,30,0.025,1.5239,-10.8357
7.01,48.68347614,30,0.025,1.524629,-10.80237
7.02,48.78365154,30,0.025,1.525358,-10.76904
7.03,48.88450663,30,0.025,1.526087,-10.73571
7.04,48.98602189,30,0.025,1.526816,-10.70238
7.05,49.08817775,30,0.025,1.527545,-10.66905
7.06,49.19095467,30,0.025,1.528274,-10.63572
7.07,49.29433311,30,0.025,1.529003,-10.60239
7.08,49.3982935,30,0.025,1.529732,-10.56906
7.09,49.50281632,30,0.025,1.530461,-10.53573
7.1,49.607882,30,0.025,1.53119,-10.5024
7.11,49.713471,30,0.025,1.531919,-10.46907
7.12,49.81956378,30,0.025,1.532648,-10.43574
7.13,49.92614077,30,0.025,1.533377,-10.40241
7.14,50.03318245,30,0.025,1.534106,-10.36908
7.15,50.14066925,30,0.025,1.534835,-10.33575
7.16,50.24858163,30,0.025,1.535564,-10.30242
7.17,50.35690005,30,0.025,1.536293,-10.26909
7.18,50.46560494,30,0.025,1.537022,-10.23576
7.19,50.57467678,30,0.025,1.537751,-10.20243
7.2,50.684096,30,0.025,1.53848,-10.1691
7.21,50.79384306,30,0.025,1.539209,-10.13577
7.22,50.90389842,30,0.025,1.539938,-10.10244
7.23,51.01424251,30,0.025,1.540667,-10.06911
7.24,51.12485581,30,0.025,1.541396,-10.03578
7.25,51.23571875,30,0.025,1.542125,-10.00245
7.26,51.34681179,30,0.025,1.542854,-9.96912
7.27,51.45811539,30,0.025,1.543583,-9.93579
7.28,51.56960998,30,0.025,1.544312,-9.90246
7.29,51.68127604,30,0.025,1.545041,-9.86913
7.3,51.793094,30,0.025,1.54577,-9.8358
7.31,51.90504432,30,0.025,1.546499,-9.80247
7.32,52.01710746,30,0.025,1.547228,-9.76914
7.33,52.12926385,30,0.025,1.547957,-9.73581
7.34,52.24149397,30,0.025,1.548686,-9.70248
7.35,52.35377825,30,0.025,1.549415,-9.66915
7.36,52.46609715,30,0.025,1.550144,-9.63582
7.37,52.57843113,30,0.025,1.550873,-9.60249
7.38,52.69076062,30,0.025,1.551602,-9.56916
7.39,52.8030661,30,0.025,1.552331,-9.53583
7.4,52.915328,30,0.025,1.55306,-9.5025
7.41,53.02752678,30,0.025,1.553789,-9.5
7.42,53.1396429,30,0.025,1.554518,-9.5
7.43,53.25165679,30,0.025,1.555247,-9.5
7.44,53.36354893,30,0.025,1.555976,-9.5
7.45,53.47529975,30,0.025,1.556705,-9.5
7.46,53.58688971,30,0.025,1.557434,-9.5
7.47,53.69829927,30,0.025,1.558163,-9.5
7.48,53.80950886,30,0.025,1.558892,-9.5
7.49,53.92049896,30,0.025,1.559621,-9.5
7.5,54.03125,30,0.025,1.56035,-9.5
7.51,54.14174244,30,0.025,1.561079,-9.5
7.52,54.25195674,30,0.025,1.561808,-9.5
7.53,54.36187333,30,0.025,1.562537,-9.5
7.54,54.47147269,30,0.025,1.563266,-9.5
7.55,54.58073525,30,0.025,1.563995,-9.5
7.56,54.68964147,30,0.025,1.564724,-9.5
7.57,54.79817181,30,0.025,1.565453,-9.5
7.58,54.9063067,30,0.025,1.566182,-9.5
7.59,55.01402662,30,0.025,1.566911,-9.5
7.6,55.121312,30,0.025,1.56764,-9.5
7.61,55.2281433,30,0.025,1.568369,-9.5
7.62,55.33450098,30,0.025,1.569098,-9.5
7.63,55.44036547,30,0.025,1.569827,-9.5
7.64,55.54571725,30,0.025,1.570556,-9.5
7.65,55.65053675,30,0.025,1.571285,-9.5
7.66,55.75480443,30,0.025,1.572014,-9.5
7.67,55.85850075,30,0.025,1.572743,-9.5
7.68,55.96160614,30,0.025,1.573472,-9.5
7.69,56.06410108,30,0.025,1.574201,-9.5
7.7,56.165966,30,0.025,1.57493,-9.5
7.71,56.26718136,30,0.025,1.575659,-9.5
7.72,56.36772762,30,0.025,1.576388,-9.5
7.73,56.46758521,30,0.025,1.577117,-9.5
7.74,56.56673461,30,0.025,1.577846,-9.5
7.75,56.66515625,30,0.025,1.578575,-9.5
7.76,56.76283059,30,0.025,1.579304,-9.5
7.77,56.85973809,30,0.025,1.580033,-9.5
7.78,56.95585918,30,0.025,1.580762,-9.5
7.79,57.05117434,30,0.025,1.581491,-9.5
7.8,57.145664,30,0.025,1.58222,-9.5
7.81,57.23930862,30,0.025,1.582949,-9.5
7.82,57.33208866,30,0.025,1.583678,-9.5
7.83,57.42398455,30,0.025,1.584407,-9.5
7.84,57.51497677,30,0.025,1.585136,-9.5
7.85,57.60504575,30,0.025,1.585865,-9.5
7.86,57.69417195,30,0.025,1.586594,-9.5
7.87,57.78233583,30,0.025,1.587323,-9.5
7.88,57.86951782,30,0.025,1.588052,-9.5
7.89,57.9556984,30,0.025,1.588781,-9.5
7.9,58.040858,30,0.025,1.58951,-9.5
7.91,58.12497708,30,0.025,1.590239,-9.5
7.92,58.2080361,30,0.025,1.590968,-9.5
7.93,58.29001549,30,0.025,1.591697,-9.5
7.94,58.37089573,30,0.025,1.592426,-9.5
7.95,58.45065725,30,0.025,1.593155,-9.5
7.96,58.52928051,30,0.025,1.593884,-9.5
7.97,58.60674597,30,0.025,1.594613,-9.5
7.98,58.68303406,30,0.025,1.595342,-9.5
7.99,58.75812526,30,0.025,1.596071,-9.5
8,58.832,30,0.025,1.5968,-9.5
8.01,58.90463874,30,0.025,1.597529,-9.5
8.02,58.97602194,30,0.025,1.598258,-9.5
8.03,59.04613003,30,0.025,1.598987,-9.5
8.04,59.11494349,30,0.025,1.599716,-9.5
8.05,59.18244275,30,0.025,1.600445,-9.5
8.06,59.24860827,30,0.025,1.601174,-9.5
8.07,59.31342051,30,0.025,1.601903,-9.5
8.08,59.3768599,30,0.025,1.602632,-9.5
8.09,59.43890692,30,0.025,1.603361,-9.5
8.1,59.499542,30,0.025,1.60409,-9.5
8.11,59.5587456,30,0.025,1.604819,-9.5
8.12,59.61649818,30,0.025,1.605548,-9.5
8.13,59.67278017,30,0.025,1.606277,-9.5
8.14,59.72757205,30,0.025,1.607006,-9.5
8.15,59.78085425,30,0.025,1.607735,-9.5
8.16,59.83260723,30,0.025,1.608464,-9.5
8.17,59.88281145,30,0.025,1.609193,-9.5
8.18,59.93144734,30,0.025,1.609922,-9.5
8.19,59.97849538,30,0.025,1.610651,-9.5
8.2,60.023936,30,0.025,1.61138,-9.5
8.21,60.06774966,30,0.025,1.612109,-9.5
8.22,60.10991682,30,0.025,1.612838,-9.5
8.23,60.15041791,30,0.025,1.613567,-9.5
8.24,60.18923341,30,0.025,1.614296,-9.5
8.25,60.22634375,30,0.025,1.615025,-9.5
8.26,60.26172939,30,0.025,1.615754,-9.5
8.27,60.29537079,30,0.025,1.616483,-9.5
8.28,60.32724838,30,0.025,1.617212,-9.5
8.29,60.35734264,30,0.025,1.617941,-9.5
8.3,60.385634,30,0.025,1.61867,-9.5
8.31,60.41210292,30,0.025,1.619399,-9.5
8.32,60.43672986,30,0.025,1.620128,-9.5
8.33,60.45949525,30,0.025,1.620857,-9.5
8.34,60.48037957,30,0.025,1.621586,-9.5
8.35,60.49936325,30,0.025,1.622315,-9.5
8.36,60.51642675,30,0.025,1.623044,-9.5
8.37,60.53155053,30,0.025,1.623773,-9.5
8.38,60.54471502,30,0.025,1.624502,-9.5
8.39,60.5559007,30,0.025,1.625231,-9.5
8.4,60.565088,30,0.025,1.62596,-9.5
8.41,60.57225738,30,0.025,1.626689,-9.5
8.42,60.5773893,30,0.025,1.627418,-9.5
8.43,60.58046419,30,0.025,1.628147,-9.5
8.44,60.58146253,30,0.025,1.628876,-9.5
8.45,60.58036475,30,0.025,1.629605,-9.5
8.46,60.57715131,30,0.025,1.630334,-9.5
8.47,60.57180267,30,0.025,1.631063,-9.5
8.48,60.56429926,30,0.025,1.631792,-9.5
8.49,60.55462156,30,0.025,1.632521,-9.5
8.5,60.54275,30,0.025,1.63325,-9.5
8.51,60.52866504,30.16917,0.0251917,1.633979,-9.4
8.52,60.51234714,30.33584,0.0253584,1.634708,-9.3
8.53,60.49377673,30.50251,0.0255251,1.635437,-9.2
8.54,60.47293429,30.66918,0.0256918,1.636166,-9.1
8.55,60.44980025,30.83585,0.0258585,1.636895,-9
8.56,60.42435507,31.00252,0.0260252,1.637624,-8.9
8.57,60.39657921,31.16919,0.0261919,1.638353,-8.8
8.58,60.3664531,31.33586,0.0263586,1.639082,-8.7
8.59,60.33395722,31.50253,0.0265253,1.639811,-8.6
8.6,60.299072,31.6692,0.026692,1.64054,-8.5
8.61,60.2617779,31.83587,0.0268587,1.641269,-8.4
8.62,60.22205538,32.00254,0.0270254,1.641998,-8.3
8.63,60.17988487,32.16921,0.0271921,1.642727,-8.2
8.64,60.13524685,32.33588,0.0273588,1.643456,-8.1
8.65,60.08812175,32.50255,0.0275255,1.644185,-8
8.66,60.03849003,32.66922,0.0276922,1.644914,-7.9
8.67,59.98633215,32.83589,0.0278589,1.645643,-7.8
8.68,59.93162854,33.00256,0.0280256,1.646372,-7.7
